id,status,notes
"RGT-001","PASS","Fresh pre/post snapshot captured in remediation snapshot/result directories."
"RGT-002","PASS","Cron run-history parse path fixed; targeted observability tests passed."
"RGT-003","PASS","Critical evidence now gates console/system health surfaces."
"RGT-004","PASS","Day-start missing baseline triggers BUY halt and non-zero paper_demo result."
"RGT-005","PASS","Fill consumption persisted per fill_id with consumed snapshot and replay-block tests."
"RGT-006","PASS","Three-run reconcile idempotency test passed."
"RGT-007","PARTIAL","Cumulative PnL now prefers canonical closed trades when present; runtime evidence not independently recomputed on live snapshot."
"RGT-008","BLOCKED","Corporate-action / KLAC remediation not independently re-verified in this run."
"RGT-009","PASS","Synthetic news excluded in dashboard selection test; lineage scan artifact preserved."
"RGT-010","PASS","collect_data main() now verified fail-closed on required-source coverage breach."
"RGT-011","BLOCKED","Fresh same-time broker/tracker mismatch diff not independently exported in this run."
"RGT-012","PASS","Sequential BUY cumulative projection test passed."
"RGT-013","PARTIAL","End-to-end join metadata path verified via decision->submission->reconcile test; no live paper run executed."
"RGT-014","PASS","Token classification and remote header-only auth verified in tests."
"RGT-015","PASS","Query token rejected; Authorization header accepted over HTTP test server."
"RGT-016","PASS","Full pytest suite passed after changes."
"RGT-017","BLOCKED","Requires post-fix soak period not available in this turn."
"RGT-018","BLOCKED","Exit recovery dataset population not generated in this turn."
